월별 사행성게임기 및 사행성 PC 인수, 자원화량	검·경찰이 압수한 물품(사행서게임기, 사행성PC)에 대한 인수(운송, 보관)량 및 자원화(폐기, 환부 등)량을 말함.
재활용가능자원 가격조사	5종(폐지, 플라스틱, 유리, 철스크랩, 폐타티어 등) 23개 품목에대하여 매월 가격 동향 정보 제공("15. 10월부터 PVC펠렛 조사 제외).
음식물쓰레기 RFID 지자체 도입현황	2020년5월 기준의 음식물쓰레기 RFID 지자체 도입 현황에 대한 목록. (152개 지자체는 2019년12월 기준임).
건설폐기물 배출 사업장 정보	연도별 건설폐기물 배출 사업장 정보현황(시도, 시군구, 현장명, 발주자, 발주자연락처, 폐기물명, 발생량 등).
도로 재비산먼지 측정 정보	한국환경공단_도로 재비산먼지 측정 정보는 특수제작한 이동측정차량으로 주행하는 차량의 타이어(휠)와 도로면의 마찰에 의해서 재비산되는 먼지(PM10)를 측정한 월간 평균 자료. 월간 평균 자료는 1. 측정일시, 측정지역, 측정도로명 2. 온도 및 습도 등 측정 기상조건 3. 도로 재비산먼지 측정평균농도, 오염범례. - 환경부 훈령 제718호 제13조(정보공개의 대상 및 방법) 참고.
가축분뇨전자인계관리시스템_장비 장착현황	가축분뇨 전자인계관리시스템에서 관리하고 있는 정보 중 장비 장착현황(업체번호, 모델명, 사용여부 등)으로 등록된 정보.
가축분뇨전자인계관리시스템_배출자 배출및처리 계획(분뇨)	가축분뇨 전자인계관리시스템에서 관리하고 있는 정보 중 가축분뇨의 분뇨 배출자에 대한 배출 및 처리계획으로 등록된 정보.
가축분뇨전자인계관리시스템_회원정보	가축분뇨 전자인계관리시스템에서 관리하고 있는 정보 중에 가축분뇨 및 액비의 배출, 운반, 처리 와 관리하고 있는 회원정보(사용자유형 등)으로 등록되어 관리되고 있는 정보.
가축분뇨전자인계관리시스템_분뇨 배출계획	가축분뇨 전자인계관리시스템에서 관리하고 있는 정보 중에 분뇨배출계획(업체번호, 축종/축분코드 등)으로 등록되어 있는 정보.
가축분뇨전자인계관리시스템_Agrix 연계 액비 인계정보(살포)	가축분뇨 전자인계관리시스템과 농림사업정보시스템(Agrix)간 연계하여 송/수신하고 있는 정보중 액비 인계정보(살포) 데이터.
가축분뇨전자인계관리시스템_살포지주소	가축분뇨 전자인계관리시스템에 관리하고 있는 데이터 중에 액비를 살포하는 소재지의 주소로 등록되어 있는 정보.
가축분뇨전자인계관리시스템_액비 배출자 배출계획	가축분뇨 전자인계관리시스템에서 관리하고 있는 데이터 중 액비배출자 배출계획(업체번호, 배출물코드, 신고허가관리번호 등) 으로 등록된 정보.
가축분뇨전자인계관리시스템_액비 배출계획	가축분뇨 전자인계관리시스템에서 관리하고 있는 데이터 중 액비 배출자의 배출계획(업체번호, 배출물코드, 신고허가 관리번호 등)으로 등록된 정보.
가축분뇨전자인계관리시스템_배출자 관리대장(액비)	가축분뇨 전자인계관리시스템에서 관리하고 있는 데이터 중에 액비를 배출하는 배출자의 관리 대장에 대한 정보.
가축분뇨전자인계관리시스템_운반자관리대장(분뇨)	가축분뇨 전자인계관리시스템에서 관리하고 있는 데이터 중에 가축분뇨 중 분뇨 운반자의 관리대장에 등록된 정보.
가축분뇨전자인계관리시스템_처리자 관리대장(퇴액비)	가축분뇨 전자인계관리시스템에서 관리하고있는 데이터 중에 퇴비와 액비의 처리자가 입력하여 관리대장에 등록된 정보.
가축분뇨전자인계관리시스템_Agrix 연계 가축분뇨 및 퇴액비 관리대장	가축분뇨 전자인계관리시스템과 농림사업정보시스템(Agrix)간 연계하여 송수/신하는 가축분뇨 및 퇴액비 관리대장 정보.
가축분뇨전자인계관리시스템_배출자 관리대장(분뇨)	가축분뇨 전자인계관리시스템에서 관리하고 있는 데이터 중에 가축분뇨 중 분뇨 배출자 관리대장에 등록된 정보.
가축분뇨전자인계관리시스템_Agrix 연계 가축정보인계정보	환경부에서 운영하는 가축분뇨 전자인계관리시스템과 농림축산식품부에서 운영하는농림사업정보시스템(Agrix)간 연계하여 가축분뇨, 액비, 전자인계 정보에 대해 송수/신하는 가축정보인계정보.
가축분뇨전자인계관리시스템_업체기본정보	가축분뇨 전자인계관리시스템에서 관리하고 있는 데이터 중 시도별 업체현황(업체사용구분, 관할지사, 주소 등)으로 등록된 정보.
가축분뇨전자인계관리시스템_운반자관리대장(액비)	가축분뇨 전자인계관리시스템에서 관리하고 있는 정보 중에 가축분뇨와 액비 중에 액비의 운반자에 대한 관리대장 정보.
가축분뇨전자인계관리시스템_처리자 시설관리일지 축분및오니 처리내용	가축분뇨전자인계관리시스템에서 관리하고 있는 가축분뇨의 처리자 시설관리일지 축분및오니 처리내용으로 등록된 정보.
가축분뇨전자인계관리시스템_액비 배출자 인계서 살포지	가축분뇨 전자인계관리시스템 에서 운영관리하는 정보중 액비 배출자 인계서 살포지 에 대한 내용. (액비살포지번호, 주소 등).
가축분뇨전자인계관리시스템_인허가 안내(저장조)	가축분뇨 전자인계관리시스템에서 관리하고 있는 정보 중에 저장조의 인허가 안내(업체번호, 저장조 번호 등)으로 등록되어 있는 정보.
가축분뇨전자인계관리시스템_처리자 처리시설 정보	가축분뇨 전자인계관리시스템에서 관리하고 있는 정보 중에 가축분뇨 처리자의 처리 시설정보으로 등록된 정보.
가축분뇨전자인계관리시스템_인증서발급관리	가축분뇨 전자인계관리시스템 내에서 관리하고 있는 정보 중에 인증서 발급 관리에 대한 내용을 관리하고 있는 정보.
가축분뇨전자인계관리시스템_분뇨 배출및처리 계획	가축분뇨 전자인계관리시스템에서 관리하고 있는 가축분뇨와 액비 중 분뇨의 배출 및 처리계획으로 등록되어 있는 정보.
가축분뇨전자인계관리시스템_액비배출자인계서	가축분뇨 전자인계관리시스템에서 관리하고 있는 가축 분뇨 정보 중 액비 배출자의 인계서 내역으로 등록되어 있는 정보.
감리인등록현황	석면건축물 해체제거 작업시 석면해체ㆍ제거작업 개시 전까지 석면해체ㆍ제거작업의 안전한 관리를 위하여 석면해체ㆍ제거작업의 감리인 지정해야 한다. 석면관리종합망을 통하여 등록한 감리인 등록정보.
가축분뇨전자인계관리시스템_업체 차량 검증장비 정보	가축분뇨 전자인계관리시스템 내에서 관리하고 있는 데이터 중 가축분뇨 및 액비 업체의 차량 검증장비에 대한 정보.
가축분뇨전자인계관리시스템_배출처리시설 계획(신고허가)	가축분뇨 전자인계관리시스템에서 관리하고 있는 배출처리시설 계획(업체번호, 시설구분, 배출시설, 수량, 규모, 용량 등)으로 등록된 정보.
가축분뇨전자인계관리시스템_액비 운반인계서 운반차량	가축분뇨 전자인계관리시스탬에서 관리하고 있는 가축분뇨 중 액비의 운반인계서 정보 중 운반차량으로 등록된 데이터.
가축분뇨전자인계관리시스템_분뇨 운반인계서 운반차량	가축분뇨 전자인계관리시스템에서 관리하고있는 가축분뇨 중 분뇨의 운반인계서 중 운반하는 차량으로 등록된 정보.
가축분뇨전자인계관리시스템_분뇨 배출자 배출계획	가축분뇨 전자인계관리시스템에서 관리하고 있는 가축 분뇨 중 분뇨 배출자의 배출 계획 정보(업체번호, 축종코드 등)으로 등록된 데이터.
가축분뇨전자인계관리시스템_액비마감인계서	가축분뇨전자인계관리시스템에서 관리하고있는 가축분뇨 중 액비의 마감된 전자인계 내역 정보로 등록된 데이터.
가축분뇨전자인계관리시스템_분뇨처리자인계서	가축분뇨 전자인계관리시스템에서 관리하고있는 가축분뇨 중 분뇨의 처리자 전자인계서 내역 정보로 등록된 데이터.
가축분뇨전자인계관리시스템_업체 신고허가증 변경사항	가축분뇨 전자인계관리시스템에서 관리하고있는 업체 신고허가증 변경사항(업체번호, 변경일자, 상태 등)으로 등록된 정보.
가축분뇨전자인계관리시스템_처리자 시설관리일지 용수공급원별	가축분뇨 전자인계관리시스템에서 관리하고 있는 가축분뇨의 처리자 시설관리일지 용수공급원별 정보로 등록된 데이터.
가축분뇨전자인계관리시스템_마감인계서 액비살포지	가축분뇨 전자인계관리시스템에서 관리하고 있는 가축분뇨의 마감된 인계서 중 액비 살포지 주소 정보로 등록된 데이터.
가축분뇨전자인계관리시스템_액비 배출자 배출및처리 계획	가축분뇨 전자인계관리시스템에서 관리하고 있는 가축분뇨 중 액비의 배출자 배출 및 처리 계획 정보로 등록된 데이터.
가축분뇨전자인계관리시스템_초지농경지 그룹(신고허가)	가축분뇨 전자인계관리시스템에서 관리하고 있는 가축분뇨 중 액비를 살포하기 위해 신고허가로 등록한 초지농경지 그룹 데이터.
가축분뇨전자인계관리시스템_분뇨배출자인계서	가축분뇨 전자인계관리시스템에서 관리하고있는 가축분뇨 중 분뇨의 배출자 전자인계서 내역 정보로 등록된 데이터.
가축분뇨전자인계관리시스템_업체 신고허가서 정보	가축분뇨 전자인계관리시스에서 관리하고 있는 업체 신고허가서 정보(업체번호, 신고허가사용자구분, 주소 등).
가축분뇨전자인계관리시스템_계약농가 조사서	가축분뇨 전자인계관리시스템에서 관리하고 있는 계약농가 조사서(운반처리업체번호, 업체번호, 주소, 축종코드 등)으로 등록된 정보.
가축분뇨전자인계관리시스템_분뇨마감인계서	가축분뇨전자인계관리시스템에서 관리하고있는 가축분뇨 중 분뇨의 마감된 전자인계 내역 정보로 등록된 데이터.
가축분뇨전자인계관리시스템_분뇨 운반인계서	가축분뇨 전자인계관리시스템에서 관리하고 있는 가축분뇨 중 분뇨 운반인계서로 등록된 정보(운반업체번호, 인수일자)인수량 등).
가축분뇨전자인계관리시스템_초지농경지 정보(신고허가)	가축분뇨 전자인계관리시스템에서 관리하고 있는 가축분뇨 중 액비를 살포할 수있는 초지 농경지 정보로 신고 허가한 데이터.
가축분뇨전자인계관리시스템_업체 신고허가서 신청정보	가축분뇨 전자인계관리시스템에서 관리하고 있는 등록 업체의 신고 허가서 신청한 정보(신고허가사용자구분, 허가구분 등)으로 등록되어 있는 데이터.
가축분뇨전자인계관리시스템_액비 운반인계서	가축분뇨 전자인계관리시스템에서 관리하고 있는 가축 분뇨 중 액비를 운반하는 인계서 내역에 대하여 등록된 정보.
